[INFO ]16:56:49,435, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-7-1467104178-85451
[INFO ]16:56:49,435, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 87 perf-921600-7-1467104178-85451
[INFO ]16:56:49,437, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-7-1467104178-85451
[INFO ]16:56:49,438, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-7-1467104178-85451
[INFO ]16:56:49,438, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-7-1467104178-85451
[INFO ]16:56:49,438, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 252 perf-921600-7-1467104178-85451
[INFO ]16:56:49,439, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-7-1467104178-85451
[INFO ]16:56:49,439, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 275 perf-921600-7-1467104178-85451
[INFO ]16:56:49,440, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 290 perf-921600-7-1467104178-85451
[INFO ]16:56:49,440, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 8657 perf-921600-7-1467104178-85451
[INFO ]16:58:10,988, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2370 perf-921600-7-1467104229-98342
[INFO ]16:58:10,988, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 70 perf-921600-7-1467104229-98342
[INFO ]16:58:10,988, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-7-1467104229-98342
[INFO ]16:58:10,988, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-7-1467104229-98342
[INFO ]16:58:10,988, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-7-1467104229-98342
[INFO ]16:58:10,989, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 220 perf-921600-7-1467104229-98342
[INFO ]16:58:10,989, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-7-1467104229-98342
[INFO ]16:58:10,989, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 583 perf-921600-7-1467104229-98342
[INFO ]16:58:10,989, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 42937 perf-921600-7-1467104229-98342
[INFO ]16:58:10,990, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 14902 perf-921600-7-1467104229-98342
[INFO ]16:58:20,703, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2839 perf-921600-18-1467104178-37256
[INFO ]16:58:20,703, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 102 perf-921600-18-1467104178-37256
[INFO ]16:58:20,703, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 1 perf-921600-18-1467104178-37256
[INFO ]16:58:20,703, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-18-1467104178-37256
[INFO ]16:58:20,703, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 6 perf-921600-18-1467104178-37256
[INFO ]16:58:20,704, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 319 perf-921600-18-1467104178-37256
[INFO ]16:58:20,704, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-18-1467104178-37256
[INFO ]16:58:20,704, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 3179 perf-921600-18-1467104178-37256
[INFO ]16:58:20,704, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 22419 perf-921600-18-1467104178-37256
[INFO ]16:58:20,705, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 87679 perf-921600-18-1467104178-37256
[INFO ]16:58:21,040, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-8-1467104178-6580
[INFO ]16:58:21,040, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 102 perf-921600-8-1467104178-6580
[INFO ]16:58:21,041, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 1 perf-921600-8-1467104178-6580
[INFO ]16:58:21,041, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-8-1467104178-6580
[INFO ]16:58:21,041, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 6 perf-921600-8-1467104178-6580
[INFO ]16:58:21,041, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 345 perf-921600-8-1467104178-6580
[INFO ]16:58:21,042, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-8-1467104178-6580
[INFO ]16:58:21,042, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 254 perf-921600-8-1467104178-6580
[INFO ]16:58:21,042, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 96592 perf-921600-8-1467104178-6580
[INFO ]16:58:21,042, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 11471 perf-921600-8-1467104178-6580
[INFO ]16:58:31,108, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2839 perf-921600-3-1467104178-23891
[INFO ]16:58:31,109, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 81 perf-921600-3-1467104178-23891
[INFO ]16:58:31,109, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-3-1467104178-23891
[INFO ]16:58:31,109, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-3-1467104178-23891
[INFO ]16:58:31,110, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-3-1467104178-23891
[INFO ]16:58:31,110, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 107 perf-921600-3-1467104178-23891
[INFO ]16:58:31,110, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-3-1467104178-23891
[INFO ]16:58:31,111, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 2018 perf-921600-3-1467104178-23891
[INFO ]16:58:31,111, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 101307 perf-921600-3-1467104178-23891
[INFO ]16:58:31,112, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 18135 perf-921600-3-1467104178-23891
[INFO ]16:58:31,129, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-16-1467104178-82919
[INFO ]16:58:31,129, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 88 perf-921600-16-1467104178-82919
[INFO ]16:58:31,130, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 0 perf-921600-16-1467104178-82919
[INFO ]16:58:31,130, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-16-1467104178-82919
[INFO ]16:58:31,130, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 3 perf-921600-16-1467104178-82919
[INFO ]16:58:31,130, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 284 perf-921600-16-1467104178-82919
[INFO ]16:58:31,130, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 0 perf-921600-16-1467104178-82919
[INFO ]16:58:31,131, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 5512 perf-921600-16-1467104178-82919
[INFO ]16:58:31,131, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 93302 perf-921600-16-1467104178-82919
[INFO ]16:58:31,131, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 8866 perf-921600-16-1467104178-82919
[INFO ]16:58:51,595, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-12-1467104178-98504
[INFO ]16:58:51,595, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 86 perf-921600-12-1467104178-98504
